                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1652,                 2.4984,                 3.6255,                   0.02,                0.41379,                0.01641,                0.00701,                 3.3252,                 3.6426,                 3.4601,              0.0011211,              0.0011211,              0.0011211
                     35,                 3.2742,                  2.499,                 3.6059,                 0.0422,                0.41379,                0.03083,                 0.0061,                 3.1501,                 5.0968,                 3.7685,              0.0011477,              0.0011477,              0.0011477
                     36,                 3.3625,                 2.5485,                 3.7114,                0.01539,                 0.2069,                0.00849,                0.00148,                 2.9908,                 5.1353,                 3.7568,               0.001174,               0.001174,               0.001174
                     37,                 3.2549,                 2.5087,                 3.6367,                0.01539,                 0.2069,                0.00849,                0.00148,                 2.9908,                 5.1353,                 3.7568,              0.0011998,              0.0011998,              0.0011998
                     38,                 3.0943,                 2.3429,                 3.5617,                0.01515,                 0.2069,                0.00903,                0.00146,                 3.0373,                 5.6563,                 3.8357,              0.0012253,              0.0012253,              0.0012253
                     39,                 3.2475,                 2.4203,                  3.568,                0.01537,                0.24138,                0.00965,                0.00163,                  3.267,                 4.3415,                 3.6726,              0.0012503,              0.0012503,              0.0012503
                     40,                 3.1123,                 2.3748,                 3.5874,                0.01537,                0.24138,                0.00965,                0.00163,                  3.267,                 4.3415,                 3.6726,               0.001275,               0.001275,               0.001275
                     41,                 3.2693,                 2.4956,                 3.5623,                0.01333,                0.27586,                0.00921,                0.00251,                 3.3151,                 3.0365,                 3.6239,              0.0012992,              0.0012992,              0.0012992
                     42,                 3.1436,                 2.4419,                 3.4968,                0.02306,                0.41379,                0.01924,                0.00377,                 3.4122,                 2.9362,                 3.4367,              0.0013231,              0.0013231,              0.0013231
                     43,                 3.0188,                 2.5334,                 3.5293,                0.02306,                0.41379,                0.01924,                0.00377,                 3.4122,                 2.9362,                 3.4367,              0.0013466,              0.0013466,              0.0013466
                     44,                 3.1093,                 2.4201,                 3.5112,                 0.0207,                0.31034,                0.01786,                0.00442,                 3.6443,                 3.0153,                 3.3678,              0.0013696,              0.0013696,              0.0013696
                     45,                 3.1139,                 2.3505,                 3.3889,                 0.0207,                0.31034,                0.01786,                0.00442,                 3.6443,                 3.0153,                 3.3678,              0.0013923,              0.0013923,              0.0013923
                     46,                 3.0632,                 2.5377,                    3.5,                0.01167,                0.24138,                 0.0088,                0.00217,                 3.5245,                 2.9043,                 3.0282,              0.0014146,              0.0014146,              0.0014146
                     47,                 3.1342,                  2.449,                 3.4559,                0.01167,                0.24138,                 0.0088,                0.00217,                 3.5245,                 2.9043,                 3.0282,              0.0014365,              0.0014365,              0.0014365
                     48,                 3.2468,                 2.4032,                 3.4146,                  0.015,                0.31034,                0.01022,                0.00474,                 3.4085,                 3.3445,                 3.0423,               0.001458,               0.001458,               0.001458
                     49,                 3.1053,                  2.387,                 3.3889,                  0.015,                0.31034,                0.01022,                0.00474,                 3.4085,                 3.3445,                 3.0423,              0.0014791,              0.0014791,              0.0014791
                     50,                 3.1953,                  2.457,                 3.5184,                0.01667,                0.34483,                0.01125,                0.00399,                 3.3947,                 3.3469,                 3.0646,              0.0014998,              0.0014998,              0.0014998
                     51,                 3.2004,                  2.263,                 3.3826,                0.01667,                0.34483,                0.01125,                0.00399,                 3.3947,                 3.3469,                 3.0646,               0.001505,               0.001505,               0.001505
                     52,                 3.1087,                 2.3778,                 3.3895,                  0.015,                0.31034,                0.01055,                0.00319,                  3.392,                  3.292,                 3.0592,              0.0014951,              0.0014951,              0.0014951
                     53,                 3.0642,                 2.3457,                 3.3674,                  0.015,                0.31034,                0.01055,                0.00319,                  3.392,                  3.292,                 3.0592,              0.0014852,              0.0014852,              0.0014852
                     54,                 3.0801,                 2.3119,                 3.3805,                  0.015,                0.31034,                0.01011,                0.00315,                 3.3795,                 3.0202,                 3.0145,              0.0014753,              0.0014753,              0.0014753
                     55,                  3.189,                 2.4588,                 3.3377,                  0.015,                0.31034,                0.01011,                0.00315,                 3.3795,                 3.0202,                 3.0145,              0.0014654,              0.0014654,              0.0014654
                     56,                 3.0754,                 2.2942,                 3.3355,                0.01333,                0.27586,                0.01034,                0.00312,                 3.3766,                 2.7943,                 2.9803,              0.0014555,              0.0014555,              0.0014555
                     57,                 3.1452,                 2.3069,                 3.3333,                0.01333,                0.27586,                0.01034,                0.00312,                 3.3766,                 2.7943,                 2.9803,              0.0014456,              0.0014456,              0.0014456
                     58,                 3.1062,                 2.3769,                 3.2939,                0.01333,                0.27586,                0.01006,                0.00243,                 3.4061,                 3.5299,                 2.9626,              0.0014357,              0.0014357,              0.0014357
                     59,                  2.935,                 2.2641,                 3.2333,                0.01333,                0.27586,                0.01006,                0.00243,                 3.4061,                 3.5299,                 2.9626,              0.0014258,              0.0014258,              0.0014258
                     60,                 3.0182,                 2.3096,                 3.2238,                0.01855,                 0.2069,                0.01006,                0.00269,                 3.4332,                 4.8524,                 2.9585,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.9628,                 2.3574,                 3.2449,                0.01855,                 0.2069,                0.01006,                0.00269,                 3.4332,                 4.8524,                 2.9585,               0.001406,               0.001406,               0.001406
                     62,                 3.1414,                 2.3364,                 3.2529,                0.02041,                 0.2069,                0.01078,                0.00244,                 3.7012,                 4.9453,                  3.149,              0.0013961,              0.0013961,              0.0013961
                     63,                  2.982,                 2.3969,                 3.2064,                0.02041,                 0.2069,                0.01078,                0.00244,                 3.7012,                 4.9453,                  3.149,              0.0013862,              0.0013862,              0.0013862
                     64,                  3.045,                 2.3741,                 3.2368,                 0.0273,                0.03448,                0.01736,                0.00468,                 4.6739,                 2.7147,                 3.8224,              0.0013763,              0.0013763,              0.0013763
                     65,                 2.8536,                   2.41,                 3.1975,                 0.0273,                0.03448,                0.01736,                0.00468,                 4.6739,                 2.7147,                 3.8224,              0.0013664,              0.0013664,              0.0013664
                     66,                 3.0133,                 2.3824,                 3.2874,                 0.0135,                0.06897,                0.02083,                0.00361,                 5.0538,                 3.2126,                 4.3183,              0.0013565,              0.0013565,              0.0013565
