                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4618,                0.92797,                 1.4758,                0.87548,                0.84775,                0.89165,                0.48632,                 1.4817,                0.81591,                 1.5349,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4394,                0.91373,                 1.4638,                0.87206,                0.84775,                0.89708,                0.49396,                 1.4525,                0.80852,                 1.5077,               0.001307,               0.001307,               0.001307
                     37,                 1.4418,                0.91348,                  1.454,                0.88039,                0.84371,                0.89675,                0.49419,                 1.4669,                0.80906,                 1.5233,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4427,                0.90297,                 1.4613,                0.87825,                 0.8564,                0.89951,                0.49419,                 1.4594,                  0.823,                 1.5122,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.427,                0.89453,                 1.4558,                0.91001,                0.84558,                0.89929,                0.49946,                 1.4782,                0.79066,                 1.5319,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.423,                0.89025,                 1.4468,                0.88279,                0.85136,                0.89853,                 0.4983,                 1.4604,                0.76292,                 1.5172,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4162,                0.87948,                 1.4401,                0.88322,                0.85056,                0.89882,                0.50101,                 1.4566,                0.78708,                 1.5107,               0.001208,               0.001208,               0.001208
                     42,                 1.4079,                 0.8715,                 1.4346,                0.90132,                0.85755,                0.90453,                 0.5012,                 1.4438,                0.77723,                 1.4941,              0.0011882,              0.0011882,              0.0011882
                     43,                   1.41,                0.87184,                 1.4366,                0.89047,                0.85797,                0.89943,                0.50398,                 1.4378,                0.76991,                 1.4955,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4042,                0.85824,                 1.4321,                0.88606,                0.86332,                0.89913,                 0.4991,                  1.458,                0.77315,                 1.5058,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.414,                0.86808,                 1.4354,                0.88979,                0.86851,                0.90352,                0.50275,                 1.4439,                0.76442,                 1.4968,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3977,                0.86044,                 1.4196,                0.89287,                0.85409,                0.90029,                0.50338,                 1.4456,                0.77004,                 1.4929,               0.001109,               0.001109,               0.001109
                     47,                 1.3925,                0.83872,                 1.4149,                0.90115,                0.85691,                0.90701,                0.50989,                  1.441,                0.75207,                 1.4864,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3807,                0.84325,                 1.4092,                0.90384,                0.85647,                 0.9092,                0.51163,                 1.4408,                0.74354,                 1.5046,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3681,                0.84304,                 1.4062,                0.89038,                0.86655,                0.90454,                0.50752,                 1.4243,                0.74322,                 1.4856,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3745,                0.82644,                 1.4063,                0.88508,                0.85719,                0.90141,                0.51219,                 1.4167,                0.73971,                 1.4754,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3689,                0.82419,                 1.4027,                 0.9043,                0.85582,                0.90819,                0.51065,                 1.4375,                0.74305,                 1.4924,                0.00101,                0.00101,                0.00101
                     52,                 1.3708,                0.81658,                 1.4024,                 0.8879,                0.87313,                0.90714,                0.51168,                 1.4356,                0.73494,                 1.4969,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3662,                0.81518,                 1.3949,                0.88388,                0.87794,                0.90676,                 0.5141,                 1.4161,                0.72883,                 1.4806,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3498,                0.80888,                 1.3889,                0.90088,                0.85963,                0.90449,                0.51414,                 1.4318,                0.74196,                 1.4983,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3537,                0.80882,                 1.3833,                0.89503,                0.86542,                0.90366,                0.51055,                 1.4408,                0.73867,                 1.4923,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3478,                0.81462,                 1.3884,                0.89881,                 0.8639,                0.90612,                0.51319,                 1.4367,                0.73252,                 1.4848,               0.000911,               0.000911,               0.000911
                     57,                  1.334,                0.79909,                 1.3775,                0.88545,                0.86927,                0.90232,                0.51494,                 1.4345,                 0.7181,                 1.4872,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3358,                0.79657,                 1.3765,                0.90685,                0.87024,                0.91064,                 0.5146,                 1.4239,                0.71957,                  1.482,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3311,                0.79159,                 1.3729,                0.89814,                0.85928,                0.90328,                0.51487,                 1.4273,                0.71681,                 1.4786,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3219,                0.77962,                 1.3703,                0.91477,                0.85582,                0.90798,                0.51926,                 1.4242,                0.71399,                 1.4818,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3083,                0.78209,                 1.3684,                0.89902,                 0.8639,                0.91083,                0.51834,                 1.4105,                0.71144,                 1.4644,               0.000812,               0.000812,               0.000812
                     62,                 1.3116,                0.77768,                 1.3708,                0.89918,                0.87442,                0.90851,                0.52378,                 1.4149,                0.71585,                 1.4709,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3107,                0.77702,                 1.3658,                0.89349,                0.86909,                0.90912,                0.51794,                   1.42,                0.72041,                 1.4758,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2964,                0.76206,                 1.3533,                0.90033,                0.86967,                0.90849,                0.51841,                 1.4119,                0.71352,                 1.4662,              0.0007526,              0.0007526,              0.0007526
